h,Open,High,Low,Close,Volume,Adj Close
21/01/2016,121.300003,125.099998,120.580002,122.910004,8851600,117.469528
20/01/2016,118.459999,123.989998,118,121.860001,16157800,116.466002
19/01/2016,130.110001,132.100006,128.059998,128.110001,9979600,122.439352
15/01/2016,130.009995,130.880005,128.869995,130.029999,8895400,124.274364
14/01/2016,131.929993,133.789993,131.220001,132.910004,5709600,127.026889
13/01/2016,133.5,134.279999,131.100006,131.169998,4700100,125.363903
12/01/2016,133.649994,133.779999,131.130005,132.899994,5078700,127.017322
11/01/2016,131.809998,133.820007,131.759995,133.229996,4974400,127.332717
08/01/2016,133.179993,133.820007,131.320007,131.630005,4762700,125.803548
07/01/2016,133.699997,135.020004,132.429993,132.860001,7025800,126.979099
06/01/2016,134.380005,135.580002,133.619995,135.169998,4310900,129.186847
05/01/2016,136.759995,136.889999,134.850006,135.850006,3924800,129.836755
04/01/2016,135.600006,135.970001,134.240005,135.949997,5229400,129.93232
31/12/2015,139.070007,139.100006,137.570007,137.619995,3443300,131.528398
30/12/2015,139.580002,140.440002,139.220001,139.339996,2989400,133.172265
29/12/2015,138.25,140.059998,138.199997,139.779999,3943700,133.592791
28/12/2015,137.740005,138.039993,136.539993,137.610001,3143400,131.518845
24/12/2015,138.429993,138.880005,138.110001,138.25,1495200,132.130516
23/12/2015,138.300003,139.309998,138.110001,138.539993,5164900,132.407673
22/12/2015,135.880005,138.190002,135.649994,137.929993,4263800,131.824673
21/12/2015,135.830002,135.830002,134.020004,135.5,5617500,129.502242
18/12/2015,136.410004,136.960007,134.270004,134.899994,10026100,128.928794
17/12/2015,139.350006,139.5,136.309998,136.75,4089500,130.696912
16/12/2015,139.119995,139.649994,137.789993,139.289993,4345500,133.124475
15/12/2015,137.399994,138.970001,137.279999,137.789993,4238500,131.690871
14/12/2015,135.309998,136.139999,134.020004,135.929993,5143800,129.913201
11/12/2015,135.229996,135.440002,133.910004,134.570007,5333800,128.613414
10/12/2015,137.029999,137.850006,135.720001,136.779999,4754800,130.725583
09/12/2015,137.380005,139.839996,136.229996,136.610001,4615000,130.563109
08/12/2015,138.279999,139.059998,137.529999,138.050003,3905200,131.939372
07/12/2015,140.160004,140.410004,138.809998,139.550003,3279400,133.372976
04/12/2015,138.089996,141.020004,137.990005,140.429993,4571600,134.214014
03/12/2015,140.100006,140.729996,138.190002,138.919998,5909600,132.770857
02/12/2015,140.929993,141.210007,139.5,139.699997,3725400,133.51633
